gene_id,module,module_color,gene_name
ENSG00000133687,0,#cccccc,TMTC1
ENSG00000100526,7,#f45deb,CDKN3
ENSG00000132932,7,#f45deb,ATP8A2
ENSG00000172379,7,#f45deb,ARNT2
ENSG00000128298,0,#cccccc,BAIAP2L2
ENSG00000229644,0,#cccccc,NAMPTP1
ENSG00000158481,7,#f45deb,CD1C
ENSG00000214548,0,#cccccc,MEG3
ENSG00000177272,6,#8197f4,KCNA3
ENSG00000101003,7,#f45deb,GINS1
ENSG00000118407,7,#f45deb,FILIP1
ENSG00000138769,0,#cccccc,CDKL2
ENSG00000078098,0,#cccccc,FAP
ENSG00000235162,0,#cccccc,C12orf75
ENSG00000100842,0,#cccccc,EFS
ENSG00000021645,0,#cccccc,NRXN3
ENSG00000113739,0,#cccccc,STC2
ENSG00000154556,0,#cccccc,SORBS2
ENSG00000197506,0,#cccccc,SLC28A3
ENSG00000160188,7,#f45deb,RSPH1
ENSG00000120833,7,#f45deb,SOCS2
ENSG00000105971,7,#f45deb,CAV2
ENSG00000196154,0,#cccccc,S100A4
ENSG00000100453,0,#cccccc,GZMB
ENSG00000276550,4,#34af8a,HERC2P2
ENSG00000187608,0,#cccccc,ISG15
ENSG00000174371,7,#f45deb,EXO1
ENSG00000106819,0,#cccccc,ASPN
ENSG00000058085,0,#cccccc,LAMC2
ENSG00000072571,7,#f45deb,HMMR
ENSG00000173369,6,#8197f4,C1QB
ENSG00000129910,0,#cccccc,CDH15
ENSG00000135114,0,#cccccc,OASL
ENSG00000121075,7,#f45deb,TBX4
ENSG00000143847,0,#cccccc,PPFIA4
ENSG00000039139,0,#cccccc,DNAH5
ENSG00000050555,7,#f45deb,LAMC3
ENSG00000249242,0,#cccccc,TMEM150C
ENSG00000166432,0,#cccccc,ZMAT1
ENSG00000149256,0,#cccccc,TENM4
ENSG00000286722,7,#f45deb,AC009244.1
ENSG00000148357,7,#f45deb,HMCN2
ENSG00000240671,1,#f77189,IGKV1-8
ENSG00000168772,0,#cccccc,CXXC4
ENSG00000175497,0,#cccccc,DPP10
ENSG00000115290,0,#cccccc,GRB14
ENSG00000243710,7,#f45deb,CFAP57
ENSG00000143196,6,#8197f4,DPT
ENSG00000128918,0,#cccccc,ALDH1A2
ENSG00000103257,7,#f45deb,SLC7A5
ENSG00000268388,7,#f45deb,FENDRR
ENSG00000158488,7,#f45deb,CD1E
ENSG00000026751,2,#c69432,SLAMF7
ENSG00000103034,0,#cccccc,NDRG4
ENSG00000137558,0,#cccccc,PI15
ENSG00000155066,0,#cccccc,PROM2
ENSG00000115226,0,#cccccc,FNDC4
ENSG00000115468,0,#cccccc,EFHD1
ENSG00000092850,7,#f45deb,TEKT2
ENSG00000169252,7,#f45deb,ADRB2
ENSG00000170323,7,#f45deb,FABP4
ENSG00000092929,0,#cccccc,UNC13D
ENSG00000113389,7,#f45deb,NPR3
ENSG00000197471,6,#8197f4,SPN
ENSG00000130208,6,#8197f4,APOC1
ENSG00000185760,0,#cccccc,KCNQ5
ENSG00000164109,7,#f45deb,MAD2L1
ENSG00000173372,6,#8197f4,C1QA
ENSG00000078401,7,#f45deb,EDN1
ENSG00000149260,0,#cccccc,CAPN5
ENSG00000136160,7,#f45deb,EDNRB
ENSG00000077152,7,#f45deb,UBE2T
ENSG00000142871,0,#cccccc,CCN1
ENSG00000114812,7,#f45deb,VIPR1
ENSG00000164611,7,#f45deb,PTTG1
ENSG00000221890,0,#cccccc,NPTXR
ENSG00000211445,7,#f45deb,GPX3
ENSG00000115602,7,#f45deb,IL1RL1
ENSG00000164692,0,#cccccc,COL1A2
ENSG00000141682,0,#cccccc,PMAIP1
ENSG00000137563,7,#f45deb,GGH
ENSG00000105374,6,#8197f4,NKG7
ENSG00000101213,0,#cccccc,PTK6
ENSG00000175318,0,#cccccc,GRAMD2A
ENSG00000050438,0,#cccccc,SLC4A8
ENSG00000160307,0,#cccccc,S100B
ENSG00000184226,7,#f45deb,PCDH9
ENSG00000133019,0,#cccccc,CHRM3
ENSG00000131471,7,#f45deb,AOC3
ENSG00000104267,7,#f45deb,CA2
ENSG00000051341,7,#f45deb,POLQ
ENSG00000152402,7,#f45deb,GUCY1A2
ENSG00000197614,0,#cccccc,MFAP5
ENSG00000148926,0,#cccccc,ADM
ENSG00000152661,0,#cccccc,GJA1
ENSG00000146530,0,#cccccc,VWDE
ENSG00000144908,0,#cccccc,ALDH1L1
ENSG00000132185,2,#c69432,FCRLA
ENSG00000092853,7,#f45deb,CLSPN
ENSG00000245532,0,#cccccc,NEAT1
ENSG00000167711,0,#cccccc,SERPINF2
ENSG00000271503,6,#8197f4,CCL5
ENSG00000153012,0,#cccccc,LGI2
ENSG00000177575,6,#8197f4,CD163
ENSG00000186684,0,#cccccc,CYP27C1
ENSG00000131910,0,#cccccc,NR0B2
ENSG00000004468,0,#cccccc,CD38
ENSG00000105219,0,#cccccc,CCNP
ENSG00000132561,0,#cccccc,MATN2
ENSG00000002587,0,#cccccc,HS3ST1
ENSG00000162493,5,#37aabb,PDPN
ENSG00000128683,0,#cccccc,GAD1
ENSG00000187837,0,#cccccc,H1-2
ENSG00000266714,0,#cccccc,MYO15B
ENSG00000266524,7,#f45deb,GDF10
ENSG00000110799,7,#f45deb,VWF
ENSG00000047597,0,#cccccc,XK
ENSG00000153347,7,#f45deb,FAM81B
ENSG00000151715,0,#cccccc,TMEM45B
ENSG00000171877,7,#f45deb,FRMD5
ENSG00000112984,7,#f45deb,KIF20A
ENSG00000088882,0,#cccccc,CPXM1
ENSG00000227507,0,#cccccc,LTB
ENSG00000158258,5,#37aabb,CLSTN2
ENSG00000125378,0,#cccccc,BMP4
ENSG00000104332,0,#cccccc,SFRP1
ENSG00000166278,0,#cccccc,C2
ENSG00000145147,7,#f45deb,SLIT2
ENSG00000181126,0,#cccccc,HLA-V
ENSG00000120262,7,#f45deb,CCDC170
ENSG00000117069,0,#cccccc,ST6GALNAC5
ENSG00000137285,0,#cccccc,TUBB2B
ENSG00000228221,0,#cccccc,LINC00578
ENSG00000244731,0,#cccccc,C4A
ENSG00000157423,7,#f45deb,HYDIN
ENSG00000079385,0,#cccccc,CEACAM1
ENSG00000180644,6,#8197f4,PRF1
ENSG00000101115,0,#cccccc,SALL4
ENSG00000139874,7,#f45deb,SSTR1
ENSG00000245750,0,#cccccc,DRAIC
ENSG00000149554,7,#f45deb,CHEK1
ENSG00000056998,0,#cccccc,GYG2
ENSG00000182175,0,#cccccc,RGMA
ENSG00000133488,7,#f45deb,SEC14L4
ENSG00000226051,0,#cccccc,ZNF503-AS1
ENSG00000120217,6,#8197f4,CD274
ENSG00000133083,0,#cccccc,DCLK1
