cancer_type,n_samples,BIRC5_mean,BIRC5_median,BIRC5_std,CCNB1_mean,CCNB1_median,CCNB1_std,CCNB2_mean,CCNB2_median,CCNB2_std,CDC20_mean,CDC20_median,CDC20_std,KIF2C_mean,KIF2C_median,KIF2C_std
KICH,30,1.3998940492536966,1.0239933810123822,1.036657583184631,3.4103517633037495,3.3330520907580343,1.0132077319043455,1.7698188346978825,1.4412276729751083,0.9214809852712469,2.0134566073194065,1.8975595687077929,0.9444538028123615,1.2998146001208204,1.2219300012727157,0.6163476222344801
KIRC,30,2.1468328973782187,2.280312837282041,1.2176238688760612,3.609976653166172,3.5272592618436183,0.9789652659517845,2.258897491729815,2.322212422890768,0.9142200250245912,2.683833271001546,2.7719070784145226,1.1553902007849441,1.8802373682743587,1.869497880684665,0.8591619685605832
KIRP,30,1.674622044016927,1.4323080263776404,1.1059769541340763,3.2199630854125925,3.1289407315946542,0.6796896441443235,1.8647658706531793,1.8175407359469422,0.8957649951825875,2.3794897054015403,2.3263833310174897,1.0024134840252856,1.5304078253229652,1.3395739785494918,0.9262707435821659
LAML,25,4.084136254015101,4.3991847685895245,0.9906033238880784,4.943804730356993,4.951256735155465,0.9770446598925481,4.7878602963169925,5.003224424173174,1.06661457348859,4.9185816889059435,5.3169132372768235,1.1310615412817573,4.506481601107152,4.658034348922495,0.877627498104977
LGG,20,2.993816648528808,3.4663503473966397,1.364683891167364,3.8680403543233566,3.8730042866154477,0.7276244939203839,2.5226746018284976,2.627865551100207,1.1638246799223233,3.2361679458317845,3.1767999176299666,1.3684611329764307,2.654321189923863,2.769641966474962,1.0600778323960423
LIHC,30,2.7739100287259664,2.7793543454229033,1.8885760961493763,3.3841671147337027,3.369715389152942,1.935783642436763,2.2338933495796582,2.0750863766735477,1.7555299268846862,3.1966444670636,3.249408319112939,2.198039670454879,1.9425598195866725,1.824239792295367,1.6369453205638813
LUAD,30,3.842131433035886,3.51202290312052,1.9956393614886987,4.8115718656466235,4.741211742117191,1.676315690574016,3.5979180467658534,3.6345206955223643,1.661942001866719,4.4444207428640965,4.42173122722291,2.1111075609671865,3.2303478524952918,2.9404554287549676,1.8517026559628091
LUSC,30,4.726828121304734,5.861213152896921,2.3170909456204956,5.340157836162251,6.240009446291432,1.8884813565520553,4.582130593280088,5.5853707082824045,2.0851993555860746,5.249959141677649,6.256905721918621,2.411257325112612,3.876335718170529,4.658538703289743,2.0351316423416814
MESO,20,5.028997499654233,5.314090140827979,1.4037598808256981,5.959918197854174,5.860425811676226,1.3227664615135866,4.9196753690910295,5.000553189234236,1.2988502227216787,5.986562656258359,6.0473150136052585,1.6407522481363492,4.11206418228508,4.107412601932042,1.287545086338486
OV,20,5.586154681797941,5.574847984532216,0.9456482613369779,6.414825432758586,6.640829753086531,0.8417368225335361,5.6224230000626525,5.655509401593903,0.8801730194779048,7.104528510636136,7.237439173564876,0.8636523802610288,5.030329440332368,4.9690134223974045,1.0422628015640307
PAAD,24,3.682923926098134,3.6093552969513367,1.0683642418224524,4.607699402924058,4.411073076873016,0.833769167802914,3.652405487655883,3.588926708733891,1.0752776919133826,4.517173836760585,4.515839568386575,1.2103170484724723,3.2699373534474674,3.04318583977538,1.0022286915745782
PCPG,23,1.6211117864019904,1.6505807646022403,0.8897771412145691,3.375408234599104,3.403513150524036,0.7205043272905017,1.5878372941024763,1.6196008187201651,0.8442304722474195,1.7146545692254724,1.9020735793107426,0.7228638129824148,1.3796482544953832,1.4182439299120924,0.606176429679335
PRAD,30,2.0695417918968158,1.769152899502986,1.2648233865072716,3.634847985005916,3.645108663687454,0.752412055497123,2.7791687432296124,2.542338781534501,1.0484006329382618,2.4383469314417128,2.279598339537735,1.1138280748210356,1.630394393591845,1.5033232634355613,0.8435490584285765
