,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-38-4632-11A,-3.951280264215241,-1.2430301241910502,-9.937002342065686,-8.859076073197857,-1.189192719172279,24.91150006185266,30.283056058933976
TCGA-05-5425-01A,7.347190243918967,3.54991214271807,-3.9134131687362745,-6.183716197981196,-2.761933429543714,12.483418460484513,-12.119873928216888
TCGA-49-4490-01A,-10.521275080696359,-3.559875371662075,0.3310784122923246,-1.2462687945178947,3.3825642357455616,-13.314019269522442,1.039914961320735
TCGA-55-6971-01A,14.659489103038288,9.842531297402932,1.4507574188664842,1.7438288699138214,1.593789890103449,20.10257638281338,2.624791718970231
TCGA-62-8394-01A,-6.432229934710456,-2.295097006358585,2.025525745522279,0.9080323631946557,-3.4888431155210715,-7.798430095726381,-14.339627656663255
TCGA-44-2656-01A,11.230309916865144,6.224839420880406,-1.328071023705829,-1.804575898487327,-0.8461102040262768,19.442625057536922,-4.055343702387729
TCGA-78-7156-01A,-9.939387447528336,-7.062426559945294,3.2922825526410824,3.4394809893928335,-8.013129218774203,-29.037742903937506,12.131358457845762
TCGA-91-6849-11A,-6.458310324406912,-4.853031765333873,-1.4645789286479873,2.611037004866764,8.343663082669545,8.622219777376447,57.59209104042747
TCGA-50-6594-01A,-8.504255762050239,-4.119052305886281,-1.2171498351465295,-3.294942314724499,-3.090320417323647,-12.927450691236562,-29.349269768853894
TCGA-05-5428-01A,-11.475979354972415,-5.5613123422321,-4.333698916176595,-6.617528609280982,-7.91334233838593,-13.702063936895957,-27.721471624032908
TCGA-91-6847-11A,-12.339123337310383,-8.246828613106787,-3.743439343029474,-0.10281007888175574,0.7827528256698515,3.023152609296734,50.298254669347905
TCGA-50-6591-01A,-19.32389378830745,-10.172892002421351,1.6276359479106848,-1.7684895868766835,4.163154279964095,-41.09501187849319,-24.104152152584984
TCGA-05-4395-01A,-6.725188104871279,-3.85552298189845,-4.177310968240164,-9.092311278948381,-10.75478276564982,-14.94921070237444,-32.90606227282475
TCGA-50-5045-01A,11.236073072235936,7.027700607564085,-4.129174158396364,-4.461426784380797,6.252237818061504,21.4453706880967,4.66689194839343
TCGA-78-7539-01A,-2.3187001250551535,1.2890196283232,0.29496044822638146,-0.3293557163435764,-7.3329999556477246,8.624084945372948,-2.645238686756684
TCGA-J2-8192-01A,-0.6033134175558122,0.13631807929732948,1.142573000559989,1.6682112579976507,10.76820146596106,13.10420707376061,10.520143112436742
TCGA-49-6743-11A,-8.148112271822367,-5.099285676553675,-8.19615229801308,-4.6857753485331495,9.375299378053857,12.55110229282652,48.186614820833455
TCGA-38-7271-01A,11.060848993576167,9.947103060034658,-9.32336224300191,-8.78374786261048,6.024821706503804,24.67711178311555,17.235467830221427
TCGA-86-8669-01A,6.527255980824685,1.7959152961029314,1.3737556739373187,1.1810746707136917,-4.412198120942714,-4.304968517156134,-3.7718988135465388
TCGA-38-4632-01A,-0.7334037834506086,0.8081402258785423,-5.96872036207543,-8.403850202572194,-4.925983457505326,4.475274393217813,-24.09906990816429
TCGA-49-AAR0-01A,-0.1932580206170717,2.1284134606344685,6.971314119969093,4.487577163445863,-1.6489099559533749,5.534194210471536,2.061664654088442
TCGA-44-8120-01A,-1.8556468677342444,-1.8803962766653135,-0.04432384865768955,-1.7780668773869475,7.1835960025022825,-5.034327664474884,10.37386679108673
