Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,direction
prerank,KRAS Signaling Up,-0.3794526872759402,-1.3797562282953595,0.010101010101010102,0.045238095238095244,0.17317317317317318,55/197,10.24%,PECAM1;TMEM100;PPP1R15A;HBEGF;SPARCL1;GYPC;MTMR10;PRKG2;ENG;USP12;KLF4;ACE;IL7R;CAB39L;EMP1;IL33;ADGRL4;CDADC1;RETN;ETS1;FLT4;TLR8;GNG11;ETV5;ABCB1;BMP2;CCND2;FCER1G;LAPTM5;EVI5;TNFAIP3;LCP1;CTSS;CD37;LAT2;EPB41L3;SEMA3B;ETV1;RBP4;TSPAN7;IRF8;ARG1;DOCK2;PPBP;RGS16;SATB1;ID2;CA2;WNT7A;CMKLR1;SPRY2;PDCD1LG2;ADGRA2;TSPAN13;TRIB1,Suppressed
prerank,Apical Junction,-0.37518867549392,-1.3879067705686319,0.0,0.045641025641025644,0.16316316316316315,45/194,11.42%,PECAM1;SLIT2;VWF;CLDN5;CD34;MYL9;ACTN2;ARHGEF6;EPB41L2;ICAM2;MYH10;NEXN;RRAS;TJP1;SORBS3;GNAI2;PARVA;SIRPA;CLDN18;INSIG1;NEGR1;AMIGO1;ZYX;JAM3;MPP5;MSN;TSPAN4;AKT3;EVL;NFASC;RSU1;SGCE;MAP3K20;ACTG2;ARPC2;TMEM8B;TAOK2;VCL;CD86;PIK3R3;MAP4K2;ICAM1;PTEN;PTPRC;ITGA10,Suppressed
prerank,Interferon Gamma Response,-0.3823590798638993,-1.405662045931829,0.0,0.04388888888888889,0.14714714714714713,61/200,17.60%,SELP;LATS2;PTPN1;IL6;SERPING1;FPR1;EIF4E3;SAMHD1;P2RY14;SOCS3;CCL2;TNFAIP3;NFKBIA;GBP4;JAK2;CDKN1A;PTPN6;CASP1;MYD88;B2M;IRF8;CSF2RB;TXNIP;TRIM25;PDE4B;CD69;CMKLR1;FCGR1A;CD86;BANK1;HLA-DRB1;ICAM1;IFIT2;OASL;IL10RA;IFIT3;CD74;LCP2;ZNFX1;BTG1;IRF1;HLA-DQA1;TRIM21;LYSMD2;STAT3;IL4R;TDRD7;IL15;MT2A;TNFSF10;HLA-DMA;CD274;NOD1;FGL2;NFKB1;ARID5B;IRF2;SLC25A28;RIPK1;MARCHF1;FAS,Suppressed
prerank,IL-2/STAT5 Signaling,-0.4002326307602181,-1.4627206814401787,0.0,0.029393939393939392,0.09509509509509509,49/199,9.40%,AGER;SLC39A8;BMPR2;GLIPR2;KLF6;IL3RA;SELP;PRKCH;AHNAK;CD83;MAFF;GADD45B;EMP1;MYO1C;DENND5A;PTH1R;LRRC8C;SOCS2;GATA1;MAP3K8;IL18R1;ITIH5;IL1RL1;CD81;IFNGR1;ABCB1;BMP2;CCND2;RORA;GPR65;PLAGL1;GBP4;MAP6;RNH1;CD44;SPRY4;NFIL3;GABARAPL1;NFKBIZ;CDKN1C;IRF8;IL13;RGS16;PRNP;SERPINB6;SWAP70;CA2;SNX14;DRC1,Suppressed
prerank,Complement,-0.42312885162746705,-1.5372293470501415,0.0,0.015,0.044044044044044044,62/199,14.11%,SPOCK2;F8;NOTCH4;DOCK4;OLR1;CD36;ACTN2;CSRP1;MAFF;ZEB1;CALM1;IL6;SERPING1;GP9;PDGFB;PPP2CB;GNAI2;CDH13;SH2B3;C1QA;LIPA;PIK3R5;FCN1;FCER1G;TNFAIP3;EHD1;GNG2;F10;CTSS;JAK2;CTSO;GNGT2;DOCK9;LTA4H;LRP1;CASP5;PHEX;APOC1;CD59;CASP1;S100A12;C1QC;CA2;CPQ;WAS;ITGAM;FYN;ANXA5;RHOG;TIMP2;PLEK;RBSN;GMFB;USP8;ZFPM2;PCSK9;PRCP;PRKCD;PIK3CG;LCP2;IRF1;GNB4,Suppressed
prerank,heme Metabolism,-0.4361351359419522,-1.605441263473181,0.0,0.008518518518518519,0.022022022022022022,44/191,10.22%,TAL1;GYPE;CAT;LMO2;TNS1;HBB;ALAS2;GYPC;SLC4A1;ABCG2;SIDT2;ADD1;ACP5;KAT2B;NEK7;SEC14L1;SDCBP;FBXO7;ACKR1;TRAK2;GATA1;SNCA;AGPAT4;FOXO3;BTG2;HBD;HEBP1;EZH1;RANBP10;NCOA4;SLC22A4;TFRC;TRIM58;MARCHF2;SELENBP1;CA2;VEZF1;TMEM9B;MPP1;NR3C1;SLC66A2;MYL4;GAPVD1;CCDC28A,Suppressed
prerank,IL-6/JAK/STAT3 Signaling,-0.517095197369823,-1.6847041733608028,0.0,0.0037500000000000003,0.008008008008008008,36/86,16.11%,ACVRL1;IL3RA;CD36;PTPN1;A2M;IL6;MAP3K8;IL18R1;SOCS3;LEPR;IL17RA;PIK3R5;IFNGR1;JUN;CXCL3;CNTFR;CD44;MYD88;CSF2RB;IL6ST;PF4;CCR1;IL1R1;IL1B;HMOX1;CD9;CSF3R;IL12RB1;TNFRSF1B;IRF1;TGFB1;GRB2;CBL;STAT3;IL4R;PLA2G2A,Suppressed
prerank,Cholesterol Homeostasis,-0.5237219198336583,-1.6915575789430823,0.004273504273504274,0.0038095238095238095,0.007007007007007007,20/74,12.22%,LDLR;CXCL16;PNRC1;FABP5;ATF3;HMGCR;PPARG;LPL;LSS;STARD4;NFIL3;SREBF2;HMGCS1;IDI1;SEMA3B;CYP51A1;SCD;ACSS2;ANXA5;CD9,Suppressed
prerank,Adipogenesis,-0.49208528015819875,-1.7884850611485326,0.0,0.0011111111111111111,0.002002002002002002,33/195,6.12%,CAVIN2;FABP4;CAT;CAVIN1;SPARCL1;RMDN3;CD36;ANGPT1;GPX3;HSPB8;ACADL;SORBS1;STOM;FZD4;MTARC2;LIFR;RETN;LPCAT3;SLC19A1;ITIH5;CD302;IFNGR1;MYLK;ENPP2;LTC4S;ALDH2;QDPR;RNF11;CYP4B1;PPARG;LPL;SULT1A1;STAT5A,Suppressed
prerank,UV Response Dn,-0.5171113146883063,-1.814874147321741,0.0,0.0013333333333333333,0.002002002002002002,42/144,11.19%,PTPN21;PRKCE;GRK5;CAV1;PLPP3;TGFBR3;LDLR;TGFBR2;DLC1;ADGRL2;SMAD7;NEK7;TJP1;PTPRM;FBLN5;PMP22;EFEMP1;CCN1;APBB2;CELF2;BDNF;INSIG1;DAB2;DUSP1;ZMIZ1;PPARG;SYNE1;RXRA;MAGI2;SDC2;BMPR1A;AKT3;GJA1;CITED2;MAP2K5;NR3C1;VLDLR;ATP2C1;PIK3R3;FYN;WDR37;PTEN,Suppressed
prerank,Myogenesis,-0.503203239875786,-1.838709761137179,0.0,0.0016666666666666666,0.002002002002002002,59/185,11.45%,FHL1;SGCG;VIPR1;TNNC1;HBEGF;COX7A1;MEF2A;CD36;ACTN2;DES;DAPK2;GPX3;HSPB8;GADD45B;CFD;SORBS1;MYH2;CASQ2;GJA5;MYO1C;SPTAN1;MRAS;CRYAB;FGF2;SORBS3;SGCA;CDH13;CAV3;WWTR1;FOXO4;MYH11;ADCY9;LDB3;MYLK;NOTCH1;APLNR;MYL3;MYOM2;MYOZ1;ACSL1;CDKN1A;PYGM;REEP1;AK1;PRNP;CNN3;PTGIS;ABLIM1;SOD3;TNNI2;MYL4;IGFBP7;SCD;DMD;SGCD;LAMA2;PVALB;GSN;TNNT3,Suppressed
