,B cells,CD8+ T cells,CD4+ T cells,Tregs,NK cells,Monocytes,Macrophages M1,Macrophages M2,Dendritic cells,Neutrophils,Mast cells,Eosinophils,T helper cells,Cytotoxic cells,Immune checkpoint
TCGA-NJ-A4YI-01A,-0.9525165252421095,-1.1652993149251172,-0.775812399755037,-0.10789231147891731,-0.9419131613338697,0.3608599593094119,-0.028005802342413615,0.7641640579672282,0.04726397902526257,0.3543809884411567,-0.7640538707581088,0.5213854999525054,-0.0858104021301987,-0.9256917974963658,-0.39545064808616115
TCGA-73-4677-01A,-0.12956985980478136,-0.48547221327128826,0.05869623084021536,-0.35771969678798826,-0.4146643074938667,-0.6560167088860626,-0.9313911351082719,-0.2904665969369455,-0.3269373548277965,0.017150811984921722,-0.09148839041317873,-0.11546331060057269,-0.18192925663372614,-0.7006330158853391,-0.7062037707800803
TCGA-75-6212-01A,1.3670452354716451,-0.7372259693890145,0.11811144493883652,0.1633764621398862,-0.6168453961703598,0.17480689046335282,-0.26142744580461297,0.15440658961207468,0.5733630595634928,-0.012298684990346174,1.5026705410802312,0.23080707127190375,0.18583464162289456,-0.7019019112911078,-0.2541284956850536
TCGA-49-6742-01A,-1.0724852268064375,-0.8577990045653615,-1.388695219684133,-0.7474925692859559,-0.49596424731243804,-0.9035839693520099,-0.22604530285229749,-0.5667839814192698,-1.3105524983195618,-0.44536552912536737,-0.33740294696426054,-0.5434312614092713,0.17226896126675897,-0.7667930824231037,-1.1115004409195037
TCGA-91-A4BD-01A,-0.21301337453798838,-0.6532174607338472,0.2509742370064826,-0.3052709445155516,-0.43055957692496905,0.31475907153849164,-0.05520400250927129,0.16608942526944656,0.4455640667948071,0.9629832108784742,1.094443855498318,0.6399217805623548,-0.3728066907366218,-0.27308165112858995,-0.528097388629897
TCGA-49-4501-01A,0.7945687400196212,0.10854297245133444,0.4409408458828342,0.25523760202165957,-0.4835434053065398,-0.2568015721160646,-0.43177447173128863,0.18214203833794795,0.1919483240331516,-0.27382897246498883,1.0091769127875518,-0.28856782195485514,-0.2268075255842041,-0.28266811482279813,-0.2028321206853984
TCGA-05-5423-01A,0.3620244911384879,0.07471365226633497,0.20164294159481427,0.642707701997307,-0.057819637880453155,0.7098583577654413,0.06522042225132677,0.783495201729808,1.1106747920924884,0.6153330811658192,0.41811069537358286,0.3385062207066283,-0.23061065624324725,-0.11780741027760207,0.18334877034775235
TCGA-86-6851-01A,1.4025346908026717,1.671353592489134,1.066397018895539,0.9836719845717834,2.2499828237975183,0.9018309851930518,0.4392026838558794,0.26638109284706807,0.01565643283605613,-0.5617386599027334,-0.3320201790628237,1.0141091358842023,0.7558395965144533,2.001792571153569,1.1343017354478164
TCGA-38-4625-11A,-0.7867098752560628,-0.33329326455431774,0.4048342426838606,-1.5103707744780872,0.04097776107354181,1.1329736514059514,-0.20585583237979097,1.2270297414522768,0.594420969908407,2.0982860768661373,1.504668385166937,0.09545416637290495,-0.25137085874643283,-0.3383324904101656,-0.2312330795541586
TCGA-64-1680-01A,-0.9769711439687206,-0.7941890232234967,-0.42088521881970503,-1.1036084386356686,-0.7355348669473756,-1.086934730127332,0.017888735469003842,-0.8841133538913534,-0.8907512283781462,-0.29931727797067137,0.4690416136252393,-0.10638742606328763,-0.5266824430221789,-0.781178669857734,-0.9273239316579266
TCGA-75-6211-01A,-0.06364263776260662,-0.35757172344338783,-0.3286208520468473,-0.012633482573081315,-0.1092067843749057,-0.6591079881103535,-0.4507474923423215,-0.8482514057301784,-0.9601305397282648,-0.4167531157736807,-1.0029766025145659,-0.11784781235747473,0.08536490909926468,-0.5278489386967989,-0.5378316471906815
TCGA-69-7763-01A,-0.03160450605435444,-0.7581354314935171,0.38389044310666104,-0.7395102659058309,-0.33763072642888187,-0.5446501592642785,-0.20450836150704324,-0.12184097964728416,-0.41416541834389636,-0.25340685555353304,-0.44657744078085454,-0.12290779577730578,-0.11742466022368787,-0.7649495783088154,-0.7484599515615993
TCGA-44-6144-11A,-1.122891697393058,0.3147973287355263,1.0869423056661247,-0.8531678605860707,0.8597089723711684,0.9731934644614983,0.07443660950180345,0.8338780145377351,0.5357113557844132,1.0679887907899153,0.0888938485990345,-0.26363415918802324,0.4757522656435517,0.9667767014798361,0.21032945266633027
TCGA-05-4427-01A,-0.5136703824520994,0.0027252530155708887,-0.3949469316004547,0.2045286813349819,-0.24254755834711997,0.27863433697703394,-0.3617268761639099,0.16357793115780755,0.2668079662558352,-0.2479609009080597,-0.7883285967348335,0.22406120599168275,0.1822487828706878,8.6363052656524e-05,-0.06757376346646021
TCGA-71-6725-01A,-0.9707345467665214,-1.83065280227318,-2.14072379841241,-1.335695348716748,-0.9459635076971479,-0.5258791040390878,-0.3422906515213346,-1.0997721555647122,-0.7733454074679857,-0.5965235748657725,-1.1598098948126274,-0.38567068504534874,-0.829271893756113,-1.7250405533816855,-1.622614010929951
TCGA-67-4679-01B,-0.8007460677816329,-0.4707515761818831,0.16692069378505942,-0.6134056705199764,-0.48808310924971526,-0.03789837412649059,0.7291193140872281,0.008745083636399325,0.096073426034198,1.0787349630318859,2.0199785039724616,1.147621103812479,0.46656810299921636,-0.5283042545038341,-0.5320495779614328
TCGA-95-8039-01A,-0.05869170601631897,-0.30331317093297916,0.664821559854164,1.3931326168911313,-0.34338222655445294,0.08069103208368573,0.4060437610359758,0.1875159369827998,1.1690973220793937,0.046507112040875244,0.4676327060636325,0.6808567436757317,0.37610083821149803,-0.1501629735858123,0.161681105545083
TCGA-49-AARR-01A,1.228260811673744,0.2200656668377471,0.28346591657062575,-0.14265439962857443,0.04006564953986347,0.3364737061529605,0.2535749626591033,0.2931825998779255,0.06442012057215799,-0.305338023761115,1.9531705764160459,-0.019315443722447877,0.44598786210223373,0.3579424258048986,0.1632789861194623
TCGA-L9-A8F4-01A,1.1851923832583053,1.1553959605585251,0.6491420366129821,1.2779050226135384,0.033498394983983895,0.4481630017031857,-0.15590147484672334,-0.06886397011655253,0.07580012243767056,-0.47893673086006794,-0.4912836063661574,0.40989614946788483,0.5434941725768662,0.8039399174258798,0.6496432774445489
TCGA-35-4123-01A,0.17237687785396547,2.349387022618919,0.5035318021402853,0.7662657874960398,1.0404151482064203,0.8917663225416598,0.5294162699809796,0.5129084724551416,0.8202833668891386,-0.36248227888181667,0.5724335261905715,0.21058201563834764,0.3827731020595153,1.7312111380645387,1.4761137196385254
TCGA-71-8520-01A,-1.0266405049125713,-1.046416252825462,-0.8551520391858718,-0.043844902945772875,-0.8162370143350031,-0.7059076382567729,-0.08243776436312181,-0.49855034752783733,-0.22119099551937468,-0.5616828355963518,-0.3191271943157106,-0.42971146084260575,0.9084003354935732,-0.8679582936021093,-0.3692626470258927
TCGA-49-AARQ-01A,-0.2231319876918659,0.35964520786735577,-0.9936652658450509,-0.3531720738366952,1.1571198622759746,-1.0372973741961136,-0.334434117829272,-1.279863328106061,-0.5394516281093165,-0.9365154188761713,-0.7013017774563428,-0.21565402097109448,0.2789467245857112,0.7967794222500899,0.4795753316773784
TCGA-55-A57B-01A,-0.8165576946893338,-0.6246363591985375,0.059124538890962905,0.5290614487278151,-0.4675080295008825,-0.2072959897484,0.6053699153561679,-0.192911957818337,0.6276967514253677,-0.004813708501431346,-0.07804143006104859,0.17392261058779693,0.27996140223086985,-0.5522419133742907,-0.320640423595868
TCGA-38-4632-11A,-0.39348751006478205,0.9915326378102874,0.9364719860891249,-0.17882988722414028,1.2192372716530733,1.664916045271173,-0.26350177066874764,1.9218470535206076,0.6311361845920722,2.0873377911101545,1.4609556514487139,0.7059933255770192,-0.2568448834057194,1.0605287360811606,0.9847690646282621
